CodeRNCP;code;Libelle;;;
RNCP1000;232;Bâtiment : construction et couverture;;;
RNCP10000;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10002;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10004;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10007;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10009;110f;Spécialités pluri-scientifiques (application aux technologies de production);;;
RNCP10009;200r;Contrôle qualité de produits et procédés industriels;;;
RNCP1001;232;Bâtiment : construction et couverture;;;
RNCP10011;131;Français, littérature et civilisation française;;;
RNCP10011;135;Langues et civilisations anciennes;;;
RNCP10013;312m;Commerce, vente;;;
RNCP10016;110f;Spécialités pluri-scientifiques (application aux technologies de production);;;
RNCP10016;200r;Contrôle qualité de produits et procédés industriels;;;
RNCP10017;122;Economie;;;
RNCP10017;313;Finances, banque, assurances, immobilier;;;
RNCP10017;326;Informatique, traitement de l'information, réseaux de transmission;;;
RNCP10018;130;Spécialités littéraires et artistiques plurivalentes;;;
RNCP10018;131;Français, littérature et civilisation française;;;
RNCP10018;131g;Littérature appliquée à la documentation, communication, lettres et enseignement;;;
RNCP10019;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP1002;225;Plasturgie, matériaux composites;;;
RNCP10020;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10021;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10023;324;Secrétariat, bureautique;;;
RNCP10024;117;Sciences de la terre;;;
RNCP10024;210;Spécialites plurivalentes de l'agronomie et de l'agriculture;;;
RNCP10024;341;Aménagement du territoire, urbanisme;;;
RNCP10025;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10027;113;Sciences naturelles, biologie-géologie;;;
RNCP10027;117;Sciences de la terre;;;
RNCP10027;118;Sciences de la vie;;;
RNCP1003;227;Energie, génie climatique;;;
RNCP10030;123;Sciences sociales (y.c. démographie, anthropologie);;;
RNCP10031;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10031;130;Spécialités littéraires et artistiques plurivalentes;;;
RNCP10031;125;Linguistique;;;
RNCP10032;323n;Techniques de l'image et du son, métiers connexes du spectacle : conception;;;
RNCP10032;323s;Techniques de l'image et du son, métiers connexes du spectacle : production;;;
RNCP10033;124;Psychologie;;;
RNCP10034;124;Psychologie;;;
