UAI;COMMUNE;ACADEMIE;MINISTERE;TYPE_ETABLISSEMENT;MNEMONIQUE_FORMATION_ACCUEIL;CODE_SPECIALITE_FORMATION_ACCUEIL;LIBELLE_FORMATION_ACCUEIL_BAN;CODE_FORMATION_ACCUEIL_BAN;CODE_COMMUNE_INSEE;CODE_POSTAL
0040007L ; DIGNE LES BAINS            ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  25221                             ;  1CAP2  MAINT.MATERIELS OPT.A AGRICOLES   ;  24125221210                ;  04070              ;  04000
0040011R ; MANOSQUE CEDEX             ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  22139                             ;  1CAP2  CUISINE                           ;  24122139210                ;  04112              ;  04101
0040011R ; MANOSQUE CEDEX             ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  23217                             ;  1CAP2  MACON                             ;  24123217210                ;  04112              ;  04101
0040011R ; MANOSQUE CEDEX             ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  25431                             ;  1CAP2  SERRURIER METALLIER               ;  24125431210                ;  04112              ;  04101
0040011R ; MANOSQUE CEDEX             ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  25434                             ;  1CAP2  REPARATION DES CARROSSERIES       ;  24125434210                ;  04112              ;  04101
0040011R ; MANOSQUE CEDEX             ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  31224                             ;  1CAP2 EQUIPIER POLYVALENT DU COMMERCE    ;  AFFECTATION                ;  04112              ;  04101
0040011R ; MANOSQUE CEDEX             ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33411                             ;  1CAP2  ASS. TECH. MILIEUX FAMIL.COLLECT. ;  24133411210                ;  04112              ;  04101
0040011R ; MANOSQUE CEDEX             ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33412                             ;  1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT ;  24133412210                ;  04112              ;  04101
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22135                             ;  1CAP2  BOUCHER                           ;  24122135210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22137                             ;  1CAP2  BOULANGER                         ;  24122137210                ;  04070              ;  04004
