UAI_GES;UAI_COMPOSANTE;LIB_COMPOSANTE;LIB_INS;UAI_AFF;LIB_AFF;CODECOMMUNE;LIBCOMMUNE;CODEPOSTAL;ACADÉMIE;MINISTERETUTELLE;LIBMINISTERE;TYPEETA;CODEFORMATION;LIBFORMATION;CODESPÉCIALITÉ;LIBSPÉCIALITÉ;CODESPÉFORMATIONINITIALE;CODEMEF
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11421;Gestion de la PME - en apprentissage;10421;3113140921
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1436;Electrotechnique - en apprentissage;436;3112551521
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11418;Négociation et digitalisation de la Relation Client - en apprentissage;10418;3113121221
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1486;Comptabilité et gestion - en apprentissage;486;3113140821
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11420;Support à l'action managériale - en apprentissage;10420;3113240921
0597097U;0597097U;IRTS Hauts-de-France - Site Hainaut Cambrésis;;0597097U;IRTS Hauts-de-France - Site Hainaut Cambrésis;59606;Valenciennes;59300;Lille;35;Ministère des Solidarités et de la Santé;Lycée à classe postbac;56000;D.E secteur social;561003;D.E Educateur Spécialisé - en apprentissage;560003;4413320231
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1432;Conception et réalisation en chaudronnerie industrielle - en apprentissage;432;3112541521
0597097U;0597097U;IRTS Hauts-de-France - Site Hainaut Cambrésis;;0597097U;IRTS Hauts-de-France - Site Hainaut Cambrésis;59606;Valenciennes;59300;Lille;35;Ministère des Solidarités et de la Santé;Lycée à classe postbac;56000;D.E secteur social;561001;D.E Assistant de Service Social - en apprentissage;560001;4413320531
0595809U;0595809U;UFA Lycée de L'Escaut;;0595809U;UFA Lycée de L'Escaut;59606;Valenciennes;59305;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11405;Pilotage des procédés - en apprentissage;10405;3112200321
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1436;Electrotechnique - en apprentissage;436;3112551521
0593052X;0593052X;I.U.T. de Valenciennes;;0593052X;I.U.T. de Valenciennes;59606;Valenciennes;59313;Lille;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;51;DUT - Production;1530;Génie mécanique et productique - en apprentissage;530;
0593052X;0593052X;I.U.T. de Valenciennes;;0593052X;I.U.T. de Valenciennes;59606;Valenciennes;59313;Lille;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;52;DUT - Service;1540;Gestion des entreprises et des administrations - en apprentissage;540;
0593052X;0593052X;I.U.T. de Valenciennes;;0593052X;I.U.T. de Valenciennes;59606;Valenciennes;59313;Lille;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;51;DUT - Production;1527;Génie électrique et informatique industrielle - en apprentissage;527;
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1426;Assistance technique d'ingénieur - en apprentissage;426;3112500121
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11421;Gestion de la PME - en apprentissage;10421;3113140921
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1385;Maintenance des systèmes - option A Systèmes de production - en apprentissage;385;3112501021
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11410;Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;10410;3112231621
0590221V;0590221V;CFA académique - Lycée Wallon à Valenciennes;;0590221V;CFA académique - Lycée Wallon à Valenciennes;59606;Valenciennes;59322;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11424;Gestion des transports et logistique associée - en apprentissage;10424;3113110321
0590221V;0590221V;CFA académique - Lycée Wallon à Valenciennes;;0590221V;CFA académique - Lycée Wallon à Valenciennes;59606;Valenciennes;59322;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1458;Services informatiques aux organisations - en apprentissage;458;3113260921
0590223X;0590223X;CFA académique - Lycée Du Hainaut;;0590223X;CFA académique - Lycée Du Hainaut;59606;Valenciennes;59322;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1432;Conception et réalisation en chaudronnerie industrielle - en apprentissage;432;3112541521
0590223X;0590223X;CFA académique - Lycée Du Hainaut;;0590223X;CFA académique - Lycée Du Hainaut;59606;Valenciennes;59322;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1434;Conception et réalisation de carrosseries - en apprentissage;434;3112541121
0593052X;0593052X;I.U.T. de Valenciennes;;0593052X;I.U.T. de Valenciennes;59606;Valenciennes;59313;Lille;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;52;DUT - Service;1547;Techniques de commercialisation - en apprentissage;547;
0590221V;0590221V;CFA académique - Lycée Wallon à Valenciennes;;0590221V;CFA académique - Lycée Wallon à Valenciennes;59606;Valenciennes;59322;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11420;Support à l'action managériale - en apprentissage;10420;3113240921
0593052X;0593052X;I.U.T. de Valenciennes;;0593052X;I.U.T. de Valenciennes;59606;Valenciennes;59313;Lille;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;51;DUT - Production;1529;Génie industriel et maintenance - en apprentissage;529;
